Time    Ener
255     1.74
262     3.23
315     4.74
381     2.29
394     3.84
494     2.24
526     3.02
909     2.04
925     2.90
1012    6.18
1044    4.02
1116    5.13
1179    4.19
1239    4.73
1317    4.04
1358    4.18
1430    4.00
1590    2.18
1653    4.32
1669    3.56
1760    2.54
1769    3.65
1810    3.17
1892    3.69
1930    8.01
2005    3.08
2084    0.28
2121    3.47
2165    3.58
2307    3.52
2310    9.14
2338    2.72
2357    3.20
2382    2.76
2473    4.93
2501    4.27
2567    3.35
2570    6.01
2580    3.73
2677    2.98
2737    2.44
2768    3.42
2825    5.08
2834    5.46
2853    5.62
2928    1.97
2963    5.69
2998    4.44
3013    4.35
3205    2.70
3293    5.06
3422    2.90
3453    3.13
3491    3.14
3522    3.11
3550    2.61
3563    4.46
3591    5.01
3620    4.34
3638    3.71
3783    3.53
3792    4.69
4037    3.16
4040    3.07
4066    4.43
4229    6.44
4436    2.05
4603    4.21
4713    7.65
4747    5.32
4760    2.94
4807    4.69
5011    4.33
5033    6.27
5127    4.18
5137    6.23
5269    4.63
5341    3.18
5520    6.74
5586    6.07
5598    3.75
5683    2.64
5721    2.98
5774    4.46
5781    4.01
5790    2.47
5806    4.16
5868    2.47
5919    5.10
5972    3.61
5975    2.71
6016    6.03
6095    3.23
6120    2.48
6201    2.59
6211    6.58
6239    4.06
6380    3.07
6387    4.92
6487    3.98
6600    4.53
6776    3.53
6845    3.82
6965    4.62
7002    4.25
7087    3.27
7125    1.88
7310    1.80
7367    2.67
7376    3.50
7379    4.38
7414    4.40
7477    4.61
7571    2.39
7627    5.84
7854    2.84
7935    4.98
7938    2.89
7986    3.94
8011    5.83
8023    2.71
8557    2.33
8567    2.59
8928    3.73
9157    2.14
9311    4.09
9449    6.02
9487    3.65
9503    3.06
9525    3.42
9531    4.96
9631    9.53
9697    2.10
9729    2.47
9942    5.06
9946    3.39
10011   5.34
10112   3.20
10175   4.65
10272   1.76
10404   3.64
10420   3.52
10489   2.73
10611   3.05
10640   2.51
10643   5.26
10646   2.80
10665   6.94
10677   4.94
10753   2.26
10759   5.26
10800   1.94
10894   6.07
10904   6.30
10907   7.80
10916   2.43
10941   3.15
10963   3.85
11061   6.40
11142   6.46
11170   3.46
11262   2.62
11287   3.66
11368   5.59
11378   4.21
11394   3.57
11403   3.98
11444   6.42
11469   4.84
11764   1.47
11840   4.63
11858   7.75
11874   5.32
11884   3.49
11987   3.88
12000   4.94
12047   6.60
12066   2.17
12138   3.14
12150   4.04
12226   6.59
12238   2.64
12314   2.81
12342   4.83
12345   4.38
12355   4.57
12364   2.85
12480   4.13
12549   4.96
12653   4.40
12772   3.39
12794   7.29
12807   3.68
12823   3.13
12863   3.71
12898   3.78
12901   6.29
12923   6.92
12964   7.20
12989   3.05
13033   4.47
13055   3.91
13096   3.77
13115   6.65
13140   2.68
13178   3.08
13225   5.58
13237   8.70
13250   5.81
13259   5.21
13262   6.75
13357   1.60
13360   3.55
13441   3.36
13514   4.45
13542   3.50
13595   2.80
13617   3.79
13655   2.57
13661   6.92
13674   4.86
13690   3.86
13702   2.45
13752   0.73
13781   6.11
13784   2.55
13878   5.39
13900   3.46
14088   2.81
14170   6.32
14271   2.50
14387   4.34
14428   5.03
14434   6.40
14462   4.77
14472   4.13
14531   5.20
14544   7.06
14575   3.98
14600   4.34
14638   3.18
14729   7.15
14754   3.77
14770   4.25
14842   3.38
14852   4.38
14930   3.00
14937   2.39
15050   4.90
15087   4.44
15141   3.10
15172   3.40
15207   5.61
15210   7.61
15241   1.80
15285   3.27
15326   4.75
15348   5.25
15357   2.42
15392   4.09
15417   2.90
15474   4.51
15524   7.95
15555   3.90
15634   4.23
15650   3.24
15662   1.85
15716   3.39
15769   0.81
15810   2.18
15935   3.62
16001   3.50
16092   1.80
16096   2.84
16118   6.92
16127   6.63
16177   6.07
16215   3.05
16328   3.71
16378   6.72
16413   5.11
16429   3.31
16447   5.45
16507   6.70
16535   3.05
16551   3.87
16557   4.81
16592   6.55
16626   3.78
16639   4.34
16652   4.13
16661   4.03
16661   7.09
16733   3.43
16746   3.54
16768   6.04
16809   1.61
16812   3.38
16815   5.11
16897   5.31
