ID	R_Sun	R_gc	V_HB	(m-M)V	V_t	M_Vt	[Fe/H	v_LSR	c	e   r	(tc) l	rho_0
NGC 104	4.5	7.4	14.06	13.37	3.95	-9.42	-0.76	-28	2.03	0.09	7.96	4.81
NGC 288	8.8	12	15.44	14.83	8.09	-6.74	-1.24	-53.9	0.96		9.08	1.8
NGC 362	8.5	9.4	15.44	14.81	6.4	-8.41	-1.16	213.3	1.94c	: 0.01	7.77	4.7
NGC 1261	16.4	18.2	16.7	16.1	8.29	-7.81	-1.35	53.4	1.27	0.07	8.74	2.96
Pal 1	10.9	17	16.36	15.65	13.18	-2.47	-0.6	-76	1.6	0.22	7.34	2.22
AM 1	121.9	123.2	20.96	20.43	15.72	-4.71	-1.8	99.5	1.12		8.72	0.03
Eridanus	90.2	95.2	20.42	19.84	14.7	-5.14	-1.46	-41.4	1.1		9.19	0.37
Pal 2	27.6	35.4	21.65	21.05	13.04	-8.01	-1.3	-141.9	1.45	0.05	9.18	3.76
NGC 1851	12.1	16.7	16.09	15.47	7.14	-8.33	-1.22	301.7	2.32	0.05	6.98	5.32
NGC 1904	12.9	18.8	16.15	15.59	7.73	-7.86	-1.57	186.8	1.72	0.01	7.78	4
NGC 2298	10.7	15.7	16.11	15.59	9.29	-6.3	-1.85	129.8	1.28	0.08	8.03	2.91
NGC 2419	84.2	91.5	20.45	19.97	10.39	-9.58	-2.12	-26.4	1.4	0.03	9.96	1.54
Pyxis	39.7	41.7	19.25	18.65	12.9	-5.75	-1.3	19.1	0.65			
NGC 2808	9.6	11.1	16.22	15.59	6.2	-9.39	-1.15	80.1	1.77	0.12	8.3	4.59
E 3	4.3	7.6	14.8	14.12	11.35	-2.77	-0.8		0.75		8.33	1.11
Pal 3	92.7	95.9	20.51	19.96	14.26	-5.7	-1.66	74.9	1		9.87	0.01
NGC 3201	5	8.9	14.77	14.21	6.75	-7.46	-1.58	481.9	1.3	0.12	8.78	2.73
Pal 4	109.2	111.8	20.8	20.22	14.2	-6.02	-1.48	76.7	0.78		10.09	-0.3
NGC 4147	19.3	21.3	17.01	16.48	10.32	-6.16	-1.83	186.5	1.8	0.08	7.49	3.48
NGC 4372	5.8	7.1	15.5	15.01	7.24	-7.77	-2.09	63.8	1.3	0.15	8.9	2.09
Rup 106	21.2	18.5	17.8	17.25	10.9	-6.35	-1.67	-49.7	0.7		9.42	1.09
NGC 4590	10.2	10.1	15.68	15.19	7.84	-7.35	-2.06	-96.2	1.64	0.05	8.67	2.54
NGC 4833	6.5	7	15.6	15.07	6.91	-8.16	-1.8	192.7	1.25	0.07	8.79	3.01
NGC 5024	17.8	18.3	16.81	16.31	7.61	-8.7	-1.99	-71.5	1.78	0.01	8.76	3.05
NGC 5053	16.4	16.9	16.65	16.19	9.47	-6.72	-2.29	51.8	0.84	0.21	9.67	0.53
NGC 5139	5.3	6.4	14.53	13.97	3.68	-10.29	-1.62	229.4	1.61	0.17	9.05	3.37
NGC 5272	10.4	12.2	15.68	15.12	6.19	-8.93	-1.57	-137	1.84	0.04	8.84	3.51
NGC 5286	11	8.4	16.5	15.95	7.34	-8.61	-1.67	54.7	1.46	0.12	8.41	4.17
AM 4	29.9	25.5	18	17.5	15.9	-1.6	-2		0.5		8.41	0.02
NGC 5466	15.9	16.2	16.47	16	9.04	-6.96	-2.22	119.7	1.32	0.11	9.56	0.88
NGC 5634	25.2	21.2	17.68	17.16	9.47	-7.69	-1.88	-36.1	1.6	0.02	8.59	3.14
NGC 5694	34.7	29.1	18.5	17.98	10.17	-7.81	-1.86	-138.7	1.84	0.04	7.86	4.03
IC 4499	18.9	15.7	17.65	17.09	9.76	-7.33	-1.6		1.11	0.08	9.37	1.49
NGC 5824	32	25.8	18.45	17.93	9.09	-8.84	-1.85	-22.5	2.45	0.03	7.88	4.66
Pal 5	23.2	18.6	17.51	16.92	11.75	-5.17	-1.41	-46.1	0.7		10.16	-0.81
NGC 5897	12.4	7.3	16.27	15.74	8.53	-7.21	-1.8	110	0.79	0.08	9.72	1.41
NGC 5904	7.5	6.2	15.07	14.46	5.65	-8.81	-1.27	65.7	1.83	0.14	8.26	3.91
NGC 5927	7.6	4.5	16.55	15.81	8.01	-7.8	-0.37	-106.3	1.6	0.04	8.29	3.87
NGC 5946	10.6	5.8	17.4	16.81	9.61	-7.2	-1.38	129.8	2.50c	0.16	6.87	4.58
BH 176	15.6	9.7	19	18.35	14	-4.35						
NGC 5986	10.4	4.8	16.52	15.96	7.52	-8.44	-1.58	94.3	1.22	0.06	8.94	3.32
Lynga 7	7.2	4.2	17.25	16.54			-0.62	8.9				
Pal 14	73.9	69	20.04	19.47	14.74	-4.73	-1.52	93.5	0.75		9.91	-1.12
NGC 6093	10	3.8	16.1	15.56	7.33	-8.23	-1.75	18.6	1.95	0	7.73	4.76
NGC 6121	2.2	5.9	13.45	12.83	5.63	-7.2	-1.2	80	1.59	0	7.57	3.82
NGC 6101	15.3	11.1	16.6	16.07	9.16	-6.91	-1.82	357.2	0.8	0.05	9.43	1.64
NGC 6144	8.5	2.6	16.3	15.76	9.01	-6.75	-1.75	198.8	1.55	0.25	8.7	2.23
NGC 6139	10.1	3.6	17.9	17.35	8.99	-8.36	-1.68	13	1.8	0.05	7.56	4.66
Terzan 3	7.5	2.4	17.3	16.61	12	-4.61	-0.73	-129	0.7		8.72	1.84
NGC 6171	6.4	3.3	15.7	15.06	7.93	-7.13	-1.04	-20.4	1.51	0.02	8.05	3.13
1636-283	7.8	2	16.55	15.97	12	-3.97	-1.5					
NGC 6205	7.7	8.7	15.05	14.48	5.78	-8.7	-1.54	-227.2	1.51	0.11	8.8	3.33
NGC 6229	30.4	29.7	18.03	17.44	9.39	-8.05	-1.43	-136.4	1.61	0.05	8.35	3.41
NGC 6218	4.9	4.5	14.6	14.02	6.7	-7.32	-1.48	-26.4	1.39	0.04	8.1	3.23
NGC 6235	11.4	4.1	17	16.41	9.97	-6.44	-1.4	98.8	1.33	0.13	8.25	3.05
NGC 6254	4.4	4.6	14.65	14.08	6.6	-7.48	-1.52	91.5	1.4	0	8.33	3.5
NGC 6256	8.4	1.8	18.5	17.81	11.29	-6.52	-0.7	-94	2.50c		5.59	5.6
Pal 15	44.6	37.9	20	19.49	14	-5.49	-1.9	85.2	0.6		10.03	-0.27
NGC 6266	6.9	1.7	16.25	15.64	6.45	-9.19	-1.29	-60.5	1.70c	: 0.01	7.64	5.14
NGC 6273	8.6	1.6	16.5	15.95	6.77	-9.18	-1.68	145.6	1.53	0.27	8.51	4.01
NGC 6284	15.3	7.6	17.4	16.8	8.83	-7.97	-1.32	38.7	2.50c	0.03	7.2	4.42
NGC 6287	9.3	2.1	17.2	16.71	9.35	-7.36	-2.05	-277.1	1.6	0.13	7.94	3.81
NGC 6293	8.8	1.4	16.5	15.99	8.22	-7.77	-1.92	-135.5	2.50c	0.03	6.24	5.22
NGC 6304	6	2.2	16.25	15.54	8.22	-7.32	-0.59	-97.4	1.8	0.02	7.37	4.41
NGC 6316	11	3.2	17.5	16.78	8.43	-8.35	-0.55	81.8	1.55	0.04	7.72	4.21
NGC 6341	8.2	9.6	15.1	14.64	6.44	-8.2	-2.28	-101.7	1.81	0.1	7.84	4.29
NGC 6325	8	1.1	17.9	17.28	10.33	-6.95	-1.17	41.4	2.50c	0.12	5.75	5.48
NGC 6333	7.9	1.7	16.2	15.66	7.72	-7.94	-1.75	242	1.15	0.04	8.65	3.67
NGC 6342	8.6	1.7	16.8	16.1	9.66	-6.44	-0.65	128.9	2.50c	0.18	6.09	4.77
NGC 6356	15.2	7.6	17.5	16.77	8.25	-8.52	-0.5	40.2	1.54	0.03	8.33	3.76
NGC 6355	9.5	1.8	17.8	17.22	9.14	-8.08	-1.5	-166	2.50c		6.23	4.83
NGC 6352	5.7	3.3	15.13	14.44	7.96	-6.48	-0.7	-116.7	1.1	0.07	8.44	3.04
IC 1257	25	17.9	19.8	19.25	13.1	-6.15	-1.7	-124.6				
Terzan 2	8.7	0.9	20.3	19.56	14.29	-5.27	-0.4	118.7	2.50c		5.59	4.65
