ID,lum,gal
47 Tuc,-11.790,MWG
NGC 362,-10.694,MWG
NGC 1261,-9.452,MWG
Eridanus 4,-5.140,MWG
Pal 2,-13.515,MWG
NGC 1851,-10.591,MWG
NGC 2298,-8.825,MWG
NGC 2419,-11.687,MWG
NGC 2808,-11.687,MWG
NGC 4147,-7.633,MWG
NGC 4833,-11.347,MWG
M 53,-10.284,MWG
NGC 5286,-11.046,MWG
NGC 5694,-9.991,MWG
IC 4499,-9.083,MWG
NGC 5824,-11.339,MWG
NGC 5927,-11.183,MWG
NGC 5946,-10.845,MWG
NGC 5986,-11.418,MWG
M 80,-10.160,MWG
M 4,-10.091,MWG
NGC 6101,-8.662,MWG
NGC 6144,-9.497,MWG
NGC 6139,-12.647,MWG
M 107,-10.019,MWG
M 13,-10.206,MWG
NGC 6229,-10.388,MWG
NGC 6235,-8.359,MWG
NGC 6256,-10.374,MWG
M 62,-12.318,MWG
M 19,-12.279,MWG
NGC 6284,-10.775,MWG
NGC 6287,-10.706,MWG
NGC 6304,-11.042,MWG
NGC 6316,-12.452,MWG
NGC 6325,-10.481,MWG
M 9,-10.611,MWG
NGC 6342,-9.825,MWG
NGC 6356,-11.740,MWG
NGC 6355,-11.163,MWG
NGC 6366,-8.558,MWG
Ton 1,-12.693,MWG
NGC 6388,-13.509,MWG
NGC 6401,-10.578,MWG
NGC 6440,-14.205,MWG
NGC 6441,-13.294,MWG
NGC 6453,-10.922,MWG
NGC 6496,-9.227,MWG
NGC 6517,-13.340,MWG
NGC 6539,-12.565,MWG
NGC 6544,-11.478,MWG
NGC 6553,-12.360,MWG
Pal 7,-10.584,MWG
NGC 6569,-10.962,MWG
M 28,-10.557,MWG
M 69,-9.803,MWG
Pal 8,-8.478,MWG
M 54,-12.717,MWG
NGC 6723,-10.229,MWG
Be42 19,-6.700,MWG
NGC 6760,-11.649,MWG
M 55,-9.199,MWG
M 75,-10.929,MWG
NGC 7006,-9.696,MWG
M 2,-10.682,MWG
M 30,-8.759,MWG
Pal 12,-6.970,MWG
NGC 7492,-7.365,MWG
2MASS GC01,-10.210,MWG
2MASS GC02,-12.667,MWG
NGC 288,-7.741,MWG
M 79,-9.372,MWG
omega Cen,-11.747,MWG
NGC 5466,-7.273,MWG
NGC 5634,-9.088,MWG
NGC 5897,-8.000,MWG
NGC 6293,-9.253,MWG
M 92,-7.190,MWG
NGC 6642,-8.730,MWG
NGC 6652,-8.079,MWG
Pal 9,-7.509,MWG
303-026,17.537,M31
DAO023,15.845,M31
305-D02,15.449,M31
306-029,12.710,M31
DAO025,15.499,M31
DAO027,16.450,M31
435-D02,14.695,M31
307-030,14.878,M31
309-031,15.350,M31
311-033,12.909,M31
312-035,12.873,M31
313-036,13.278,M31
314-037,15.591,M31
315-038,14.550,M31
DAO030,16.078,M31
316-040,15.438,M31
317-041,14.741,M31
318-042,15.495,M31
002-043,15.719,M31
003-045,15.462,M31
321-046,14.998,M31
442-D03,15.393,M31
325-000,14.713,M31
327-053,14.383,M31
328-054,14.590,M31
008-060,14.237,M31
010-062,14.740,M31
012-064,12.922,M31
448-D03,16.181,M31
014-B22,14.445,M31
335-H13,14.449,M31
449-H11,15.664,M31
016-066,14.662,M31
451-D03,15.324,M31
452-069,15.557,M31
017-070,12.811,M31
018-071,14.964,M31
DAO040,15.950,M31
338-076,11.685,M31
021-075,14.293,M31
022-074,15.420,M31
341-081,13.828,M31
024-082,14.148,M31
025-084,14.085,M31
026-086,14.471,M31
028-088,14.562,M31
029-090,13.430,M31
030-091,13.488,M31
031-092,14.677,M31
456-D04,15.277,M31
032-093,14.099,M31
DAO046,16.029,M31
342-094,16.942,M31
033-095,15.405,M31
034-096,12.610,M31
DAO047,15.947,M31
035-000,14.615,M31
036-000,14.538,M31
037-000,11.153,M31
038-098,13.836,M31
039-101,12.591,M31
040-102,15.721,M31
041-103,15.944,M31
042-104,12.267,M31
043-106,14.949,M31
044-107,13.602,M31
045-108,13.115,M31
458-D04,15.664,M31
048-110,13.502,M31
047-111,15.372,M31
049-112,15.168,M31
050-113,14.033,M31
053-000,15.976,M31
055-116,13.062,M31
056-117,13.742,M31
057-118,15.475,M31
058-119,12.468,M31
059-120,14.175,M31
060-121,14.504,M31
061-122,13.217,M31
062-123,14.165,M31
063-124,12.170,M31
065-126,14.638,M31
066-128,16.058,M31
344-127,13.554,M31
067-129,15.368,M31
069-132,16.764,M31
070-133,14.540,M31
071-000,14.937,M31
072-000,13.318,M31
074-135,14.428,M31
075-136,15.017,M31
DAO053,15.512,M31
076-138,14.598,M31
DAO054,15.404,M31
077-139,14.335,M31
079-000,13.815,M31
078-140,14.078,M31
080-141,14.014,M31
081-142,14.077,M31
345-143,14.490,M31
082-144,11.533,M31
083-146,15.041,M31
084-000,14.840,M31
085-147,14.678,M31
086-148,13.026,M31
346-149,13.898,M31
088-150,12.470,M31
090-000,15.361,M31
089-000,17.166,M31
091-151,15.677,M31
348-153,14.162,M31
347-154,14.500,M31
093-155,13.916,M31
095-157,13.238,M31
096-158,12.953,M31
NB23,14.071,M31
NB83,14.776,M31
098-000,13.574,M31
097-159,14.013,M31
463-160,14.764,M31
099-161,14.402,M31
350-162,14.609,M31
100-163,15.163,M31
101-164,14.253,M31
NB65,13.847,M31
102-000,14.859,M31
104-000,15.548,M31
106-168,13.357,M31
107-169,14.640,M31
108-167,14.315,M31
NB81,14.253,M31
NB61,14.024,M31
109-170,13.139,M31
110-172,12.389,M31
NB16,15.156,M31
260-000,14.009,M31
112-174,12.896,M31
111-173,14.529,M31
NB67,14.572,M31
114-175,14.011,M31
117-176,14.295,M31
115-177,12.595,M31
NB17,15.328,M31
116-178,12.753,M31
NB29,13.891,M31
118-000,13.627,M31
119-000,14.453,M31
NB68,13.565,M31
NB21,14.359,M31
NB74,12.699,M31
NB25,13.486,M31
NB91,13.775,M31
122-181,13.799,M31
123-182,14.657,M31
125-183,14.530,M31
DAO055,16.608,M31
126-184,14.543,M31
127-185,11.616,M31
353-CFA,11.495,M31
128-187,14.025,M31
129-000,12.408,M31
130-188,13.966,M31
131-189,12.511,M31
134-190,13.949,M31
135-192,13.293,M31
355-193,16.041,M31
136-194,14.648,M31
137-195,14.542,M31
138-000,13.694,M31
141-197,14.211,M31
143-198,12.869,M31
465-D05,15.521,M31
145-000,15.664,M31
146-000,14.227,M31
148-200,13.338,M31
149-201,14.162,M31
268-000,15.087,M31
150-203,13.546,M31
152-207,13.339,M31
356-206,14.444,M31
153-000,15.586,M31
154-208,13.865,M31
357-209,13.884,M31
155-210,14.747,M31
156-211,14.583,M31
157-212,15.062,M31
158-213,11.843,M31
159-000,14.395,M31
161-215,13.808,M31
162-216,14.474,M31
163-217,11.872,M31
164-B25,14.528,M31
165-218,14.450,M31
166-000,15.052,M31
167-000,14.308,M31
168-000,13.785,M31
169-000,14.066,M31
170-221,14.707,M31
DAO060,12.963,M31
171-222,12.141,M31
172-223,13.883,M31
DAO062,13.045,M31
173-224,14.830,M31
174-226,12.817,M31
176-227,14.782,M31
177-228,15.705,M31
178-229,12.858,M31
181-232,14.091,M31
184-236,14.115,M31
187-237,14.617,M31
188-239,14.917,M31
189-240,13.947,M31
190-241,14.531,M31
194-243,14.966,M31
193-244,12.337,M31
196-246,14.824,M31
195-000,16.235,M31
472-D06,15.973,M31
199-248,15.406,M31
197-247,14.476,M31
198-249,15.474,M31
200-000,15.701,M31
202-251,15.308,M31
203-252,14.178,M31
361-255,14.997,M31
205-256,12.859,M31
206-257,12.626,M31
207-258,15.141,M31
208-259,15.051,M31
209-261,14.236,M31
210-000,15.596,M31
211-262,16.032,M31
214-265,15.163,M31
215-266,14.354,M31
216-267,15.341,M31
217-269,13.891,M31
218-272,12.053,M31
219-271,13.746,M31
363-274,15.988,M31
220-275,14.560,M31
221-276,14.252,M31
222-277,14.745,M31
223-278,16.042,M31
473-000,15.436,M31
279-D06,14.680,M31
225-280,11.175,M31
226-000,14.697,M31
227-000,14.276,M31
228-281,14.026,M31
229-282,15.163,M31
DAO069,15.733,M31
230-283,14.043,M31
231-285,14.917,M31
233-287,15.798,M31
234-290,14.135,M31
283-296,15.296,M31
475-H12,15.086,M31
235-297,13.476,M31
476-000,15.820,M31
477-000,17.074,M31
236-298,15.476,M31
237-299,15.404,M31
370-300,13.727,M31
238-301,13.942,M31
239-000,14.687,M31
371-303,15.888,M31
373-305,12.595,M31
374-306,16.367,M31
375-307,14.931,M31
480-000,15.757,M31
376-309,16.020,M31
484-310,15.628,M31
378-311,15.598,M31
381-315,15.509,M31
382-317,15.134,M31
383-318,12.796,M31
385-321,15.117,M31
389-326,13.889,M31
391-328,14.885,M31
392-329,18.052,M31
2m020,14.928,M31
2m023,16.109,M31
2m024,15.555,M31
2m026,15.264,M31
2m030,16.402,M31
2m031,15.496,M31
2m032,16.323,M31
2m049,16.253,M31
2m050,14.353,M31
2m051,16.285,M31
2m052,15.447,M31
2m053,14.358,M31
2m056,14.113,M31
2m060,14.676,M31
2m073,14.215,M31
2m074,14.599,M31
2m085,13.952,M31
2m096,13.856,M31
2m106,13.158,M31
2m134,15.930,M31
2m135,14.766,M31
2m138,15.380,M31
2m139,14.731,M31
2m140,15.799,M31
2m142,14.235,M31
2m149,15.383,M31
2m152,15.202,M31
2m153,13.821,M31
2m155,14.318,M31
2m158,14.411,M31
2m159,12.450,M31
2m160,13.748,M31
2m161,14.340,M31
2m164,15.850,M31
2m165,13.790,M31
2m168,15.191,M31
2m173,13.946,M31
2m177,10.885,M31
2m180,15.479,M31
2m185,14.967,M31
2m186,14.936,M31
2m187,14.743,M31
2m190,13.951,M31
2m192,14.573,M31
2m193,15.961,M31
2m195,14.510,M31
2m198,14.868,M31
2m203,14.840,M31
2m206,14.539,M31
2m208,12.971,M31
2m210,11.828,M31
2m211,13.691,M31
2m212,16.988,M31
2m213,14.983,M31
2m216,14.957,M31
2m217,12.580,M31
2m218,11.874,M31
2m220,11.714,M31
2m221,14.392,M31
2m223,12.185,M31
2m225,10.749,M31
2m227,14.995,M31
2m230,14.141,M31
2m232,13.752,M31
2m234,15.137,M31
2m236,15.050,M31
2m237,14.379,M31
2m241,12.266,M31
2m244,16.833,M31
2m270,14.177,M31
2m285,14.558,M31
2m300,15.722,M31
2m307,16.180,M31
2m309,16.052,M31
2m334,15.562,M31
2m342,15.141,M31
2m343,14.860,M31
2m346,13.875,M31
2m347,16.212,M31

